"Experiment","Sentence","Item","List","Content","No","Yes","Group","Question","AnswerL","AnswerR","Correct"
"MovingProc8","The_architect built the_monument for_two_years after the_city had_finally_provided the_money_for_it.",1,1,"content question","yes = 1","no = 5",1,"What did the city provide money for?","A monument","A gallery","L"
"MovingProc8","The_architect built the_monument within_two_years after the_city had_finally_provided the_money_for_it.",1,2,"content question","yes = 1","no = 5",2,"What did the city provide money for?","A monument","A gallery","L"
"MovingProc8","The_architect was_building the_monument for_two_years after the_city had_finally_provided the_money_for_it.",1,3,"content question","yes = 1","no = 5",3,"What did the city provide money for?","A monument","A gallery","L"
"MovingProc8","The_cook made the_African_beef_stew for_two_hours after he had_planned the_menu.",2,1,"content question","yes = 1","no = 5",2,"Who planned the menu?","The restaurant manager","The cook","R"
"MovingProc8","The_cook made the_African_beef_stew within_two_hours after he had_planned the_menu.",2,2,"content question","yes = 1","no = 5",3,"Who planned the menu?","The restaurant manager","The cook","R"
"MovingProc8","The_cook was_making the_African_beef_stew for_two_hours after he had_planned the_menu.",2,3,"content question","yes = 1","no = 5",1,"Who planned the menu?","The restaurant manager","The cook","R"
"MovingProc8","The_artist painted the_picture for_more_than_three_days after he had_finally_signed the_contract.",3,1,"content question","yes = 1","no = 5",3,"What did the artist do before painting?","Sign a contract","Write a letter","L"
"MovingProc8","The_artist painted the_picture within_three_days after he had_finally_signed the_contract.",3,2,"content question","yes = 1","no = 5",1,"What did the artist do before painting?","Sign a contract","Write a letter","L"
"MovingProc8","The_artist was_painting the_picture for_more_than_three_days after he had_finally_signed the_contract.",3,3,"content question","yes = 1","no = 5",2,"What did the artist do before painting?","Sign a contract","Write a letter","L"
"MovingProc8","The_mechanic changed the_tire for_ten_minutes after he had_finished his_lunch_break.",4,1,"content question","yes = 1","no = 5",1,"When did the mechanic start changing the tire?","After breakfast","After lunch break","R"
"MovingProc8","The_mechanic changed the_tire within_ten_minutes after he had_finished his_lunch_break.",4,2,"content question","yes = 1","no = 5",2,"When did the mechanic start changing the tire?","After breakfast","After lunch break","R"
"MovingProc8","The_mechanic was_changing the_tire for_ten_minutes after he had_finished his_lunch_break.",4,3,"content question","yes = 1","no = 5",3,"When did the mechanic start changing the tire?","After breakfast","After lunch break","R"
